epoch,accuracy,loss,val_accuracy,val_loss
0,0.5528296232223511,0.8997094631195068,0.7071666717529297,0.656100869178772
1,0.7672480344772339,0.5462456941604614,0.7894999980926514,0.5004919767379761
2,0.8193151354789734,0.43843990564346313,0.807699978351593,0.45563971996307373
3,0.8399569988250732,0.4440101683139801,0.8079666495323181,0.45263904333114624
4,0.8548362851142883,0.3609693944454193,0.8223000168800354,0.42480871081352234
5,0.8677238821983337,0.3328549265861511,0.8235999941825867,0.4244309961795807
6,0.8782281279563904,0.3104093372821808,0.8296666741371155,0.41481685638427734
7,0.8880199193954468,0.2895350754261017,0.8309666514396667,0.4119778573513031
8,0.8962074518203735,0.2701819837093353,0.8322666883468628,0.4232598841190338
9,0.9052242040634155,0.2503373622894287,0.8285999894142151,0.43934810161590576
