epoch,accuracy,loss,val_accuracy,val_loss
0,0.6435261964797974,0.7548865079879761,0.785266637802124,0.5066518187522888
1,0.8139484524726868,0.4483236074447632,0.8235999941825867,0.4246174693107605
2,0.8533695936203003,0.3581602871417999,0.8325333595275879,0.4129059314727783
3,0.8788323402404785,0.30158087611198425,0.8330333232879639,0.41913992166519165
4,0.8965324759483337,0.2608126401901245,0.8426333069801331,0.3961869776248932
5,0.9123367667198181,0.2233891636133194,0.8493333458900452,0.3815225064754486
6,0.9276202321052551,0.1881255805492401,0.8385666608810425,0.438198983669281
7,0.9429537057876587,0.15351606905460358,0.8483333587646484,0.4518513083457947
8,0.9565246105194092,0.12051121145486832,0.8485333323478699,0.5238588452339172
9,0.9677038788795471,0.09212707728147507,0.8378666639328003,0.6009218096733093
